txn_id,date,amount,currency,category,vendor,department,status,is_flagged,approved_by
T000073,2024-02-02,12452.06,EUR,Payroll,Vendor_68,Operations,Cleared,False,E0047
T000074,2024-12-22,-15232.52,GBP,Office,Vendor_48,Finance,Pending,False,E0046
T000075,2024-04-26,-43828.83,EUR,Travel,Vendor_59,Customer Success,Cleared,True,E0008
T000076,2024-09-28,-17913.51,GBP,Tax,Vendor_64,Engineering,Pending,False,E0008
T000077,2024-08-10,25137.6,EUR,Marketing,Vendor_71,Sales,Pending,False,E0048
T000078,2024-06-05,-49773.35,USD,Marketing,Vendor_5,Product,Pending,True,E0027
T000079,2024-01-24,-35100.28,USD,Payroll,Vendor_55,Operations,Cleared,True,E0029
T000080,2025-01-28,49185.11,EUR,SaaS,Vendor_75,Customer Success,Flagged,True,E0048
T000081,2024-03-23,-32353.5,GBP,Investment,Vendor_43,Operations,Cleared,True,E0030
T000082,2025-04-18,-29386.75,EUR,Marketing,Vendor_76,Product,Flagged,False,E0048
T000083,2024-11-02,-35079.81,EUR,Vendor,Vendor_77,Product,Flagged,True,E0013
T000084,2025-02-19,-8895.24,GBP,Office,Vendor_36,Product,Flagged,False,E0024
T000085,2024-09-17,40133.6,EUR,Investment,Vendor_32,Product,Cleared,True,E0004
T000086,2025-03-05,20085.16,USD,SaaS,Vendor_46,Legal,Cleared,False,E0028
T000087,2024-12-20,30658.44,EUR,Vendor,Vendor_72,HR,Cleared,True,E0046
T000088,2024-07-24,-49797.75,GBP,Vendor,Vendor_61,Operations,Cleared,True,E0045
T000089,2024-01-11,-24281.5,USD,Office,Vendor_49,Engineering,Cleared,False,E0019
T000090,2024-03-02,-29902.18,USD,Tax,Vendor_51,Product,Pending,False,E0023
T000091,2024-03-16,-1970.32,USD,Refund,Vendor_15,Marketing,Pending,False,E0037
T000092,2024-12-27,23498.19,EUR,Vendor,Vendor_57,Customer Success,Cleared,False,E0048
T000093,2025-05-05,-17420.47,EUR,Marketing,Vendor_23,Product,Cleared,False,E0037
T000094,2025-01-03,10748.95,USD,Marketing,Vendor_27,Design,Flagged,False,E0041
T000095,2024-02-21,-1291.93,GBP,Tax,Vendor_60,Customer Success,Cleared,False,E0011
T000096,2025-03-10,38382.72,USD,SaaS,Vendor_45,Operations,Cleared,True,E0005
T000097,2024-07-21,14034.96,USD,Vendor,Vendor_41,Design,Pending,False,E0027
T000098,2024-05-19,38579.01,USD,Office,Vendor_54,Engineering,Pending,True,E0025
T000099,2025-02-17,-3260.69,GBP,SaaS,Vendor_6,Finance,Pending,False,E0040
T000100,2024-01-11,-10921.91,USD,Office,Vendor_45,Engineering,Flagged,False,E0012
T000101,2024-07-20,41028.63,USD,Marketing,Vendor_4,Legal,Pending,True,E0015
T000102,2024-02-17,36513.75,USD,Payroll,Vendor_56,Customer Success,Pending,True,E0028
T000103,2024-07-26,47014.11,EUR,Payroll,Vendor_42,Finance,Flagged,True,E0041
T000104,2024-04-01,-22228.38,GBP,Vendor,Vendor_53,Legal,Pending,False,E0015
T000105,2024-06-20,-27633.64,USD,Investment,Vendor_56,Sales,Pending,False,E0036
T000106,2024-12-06,-48797.34,GBP,Vendor,Vendor_31,Design,Cleared,True,E0022
T000107,2024-08-19,-27564.87,USD,Travel,Vendor_49,Product,Flagged,False,E0049
T000108,2025-04-23,41261.87,GBP,Tax,Vendor_38,HR,Pending,True,E0024
T000109,2024-03-09,-9123.81,EUR,Vendor,Vendor_4,Product,Cleared,False,E0048
T000110,2024-06-27,16559.41,EUR,Payroll,Vendor_47,Marketing,Flagged,False,E0024
T000111,2024-01-19,6212.92,GBP,Refund,Vendor_35,Operations,Cleared,False,E0009
T000112,2025-01-30,-30904.82,GBP,Investment,Vendor_76,Customer Success,Flagged,True,E0012
T000113,2025-04-22,43366.7,GBP,Tax,Vendor_77,Marketing,Pending,True,E0016
T000114,2024-06-09,-6911.44,USD,Tax,Vendor_24,HR,Flagged,False,E0023
T000115,2024-02-02,-13379.55,EUR,Refund,Vendor_47,Sales,Flagged,False,E0013
T000116,2024-08-31,37749.46,EUR,Office,Vendor_28,Sales,Cleared,True,E0030
T000117,2025-02-14,-30211.45,EUR,Office,Vendor_68,Engineering,Flagged,True,E0005
T000118,2024-11-15,49358.47,EUR,SaaS,Vendor_15,Finance,Pending,True,E0027
T000119,2025-01-25,-41082.03,EUR,Tax,Vendor_10,HR,Cleared,True,E0045
T000120,2025-02-15,41594.22,EUR,Travel,Vendor_20,Marketing,Cleared,True,E0044
T000121,2025-02-08,-23829.0,EUR,Payroll,Vendor_66,Sales,Cleared,False,E0007
T000122,2024-05-18,2802.55,USD,SaaS,Vendor_75,Product,Cleared,False,E0040
T000123,2024-10-12,3524.41,USD,Investment,Vendor_77,Operations,Cleared,False,E0029
T000124,2025-01-28,29092.72,EUR,Investment,Vendor_16,Marketing,Pending,False,E0033
T000125,2024-02-26,-1246.65,GBP,Travel,Vendor_2,Engineering,Flagged,False,E0002
T000126,2024-06-14,1498.51,GBP,Payroll,Vendor_43,Design,Cleared,False,E0035
T000127,2024-03-02,-23222.93,USD,Travel,Vendor_37,Engineering,Pending,False,E0003
T000128,2024-10-10,33884.88,USD,Payroll,Vendor_44,Customer Success,Flagged,True,E0015
T000129,2024-06-23,45719.62,GBP,Tax,Vendor_76,Legal,Cleared,True,E0041
T000130,2024-04-04,46143.05,USD,Vendor,Vendor_13,Customer Success,Flagged,True,E0027
T000131,2024-10-18,-19653.93,USD,SaaS,Vendor_10,Marketing,Pending,False,E0028
T000132,2025-05-07,-5198.29,EUR,Marketing,Vendor_19,Design,Cleared,False,E0010
T000133,2024-12-27,18542.19,GBP,Office,Vendor_73,Design,Cleared,False,E0026
T000134,2025-02-01,-34130.74,EUR,Marketing,Vendor_80,Design,Flagged,True,E0017
T000135,2024-10-26,40145.36,GBP,Office,Vendor_77,Sales,Cleared,True,E0025
T000136,2024-01-03,36197.95,USD,Payroll,Vendor_32,Finance,Cleared,True,E0047
T000137,2025-03-07,-24028.34,EUR,Office,Vendor_54,HR,Pending,False,E0046
T000138,2025-04-06,37170.3,EUR,Tax,Vendor_46,Product,Flagged,True,E0041
T000139,2024-02-19,-28891.82,EUR,Office,Vendor_8,Operations,Cleared,False,E0033
T000140,2024-10-18,17541.22,EUR,Marketing,Vendor_13,Customer Success,Pending,False,E0023
T000141,2024-01-21,2836.32,USD,Office,Vendor_25,Marketing,Cleared,False,E0015
T000142,2024-01-12,-2823.63,USD,Marketing,Vendor_71,Product,Pending,False,E0017
T000143,2024-02-18,41685.41,EUR,Vendor,Vendor_28,Legal,Pending,True,E0050
T000144,2024-07-04,-999.26,EUR,Investment,Vendor_51,Sales,Flagged,False,E0048
T000145,2024-01-07,18782.93,GBP,Travel,Vendor_74,Finance,Pending,False,E0003
T000146,2024-09-22,-28075.22,EUR,Marketing,Vendor_19,Product,Flagged,False,E0034
T000147,2024-06-29,6459.85,GBP,Vendor,Vendor_76,Marketing,Cleared,False,E0028
T000148,2024-11-09,-11692.62,EUR,Travel,Vendor_23,HR,Flagged,False,E0039
T000149,2024-07-31,31023.53,EUR,Tax,Vendor_21,Marketing,Cleared,True,E0027
T000150,2024-10-02,-26404.37,USD,Refund,Vendor_44,Finance,Pending,False,E0008
T000151,2024-09-29,-29413.97,GBP,Office,Vendor_44,Product,Flagged,False,E0048
T000152,2025-02-02,45096.51,USD,SaaS,Vendor_66,Engineering,Cleared,True,E0030
T000153,2024-09-11,-41933.43,USD,Tax,Vendor_17,Legal,Pending,True,E0024
T000154,2025-03-20,41417.4,USD,Tax,Vendor_74,Operations,Pending,True,E0030
T000155,2024-04-24,27694.5,GBP,Travel,Vendor_36,Sales,Flagged,False,E0019
T000156,2024-12-22,-25329.16,USD,Payroll,Vendor_28,Marketing,Cleared,False,E0048
T000157,2024-12-24,-37630.37,GBP,Tax,Vendor_55,Product,Flagged,True,E0041
T000158,2024-01-26,38843.56,EUR,Refund,Vendor_33,Product,Pending,True,E0042
T000159,2024-11-20,-36425.66,USD,Vendor,Vendor_11,Engineering,Pending,True,E0001
T000160,2024-10-09,-26953.88,EUR,Travel,Vendor_60,Design,Cleared,False,E0026
T000161,2024-01-10,29235.54,GBP,Investment,Vendor_58,Product,Flagged,False,E0031
T000162,2025-02-06,12087.26,EUR,Travel,Vendor_25,Operations,Cleared,False,E0009
T000163,2024-06-15,-28825.67,USD,SaaS,Vendor_18,Operations,Cleared,False,E0024
T000164,2025-03-29,26417.62,EUR,Refund,Vendor_24,Product,Pending,False,E0017
T000165,2024-07-04,-5409.87,EUR,Payroll,Vendor_22,Sales,Flagged,False,E0034
T000166,2024-09-26,37726.41,USD,Vendor,Vendor_13,Operations,Flagged,True,E0020
T000167,2024-08-09,49528.08,USD,Tax,Vendor_25,Design,Cleared,True,E0038
T000168,2025-02-27,-10376.39,GBP,Refund,Vendor_70,Design,Pending,False,E0012
T000169,2025-02-19,28377.08,GBP,Marketing,Vendor_60,HR,Flagged,False,E0041
T000170,2024-12-20,38441.49,GBP,Travel,Vendor_48,Design,Flagged,True,E0020
T000171,2024-08-16,25281.64,USD,Tax,Vendor_74,Finance,Flagged,False,E0038
T000172,2024-03-31,2622.45,USD,SaaS,Vendor_7,Marketing,Pending,False,E0020
T000173,2024-07-27,-41878.62,EUR,Refund,Vendor_76,Operations,Pending,True,E0048
T000174,2024-08-15,14484.47,GBP,Vendor,Vendor_67,Legal,Flagged,False,E0028
T000175,2024-04-20,21757.93,GBP,Vendor,Vendor_29,Legal,Pending,False,E0040
T000176,2025-01-02,-20942.37,GBP,Office,Vendor_75,Marketing,Flagged,False,E0005
T000177,2024-02-28,21234.22,EUR,Refund,Vendor_23,Finance,Flagged,False,E0022
T000178,2025-05-07,13036.46,USD,Marketing,Vendor_59,Finance,Pending,False,E0032
T000179,2024-10-19,-7748.02,EUR,Travel,Vendor_65,Legal,Pending,False,E0023
T000180,2024-05-29,26579.02,GBP,Refund,Vendor_60,Legal,Cleared,False,E0046
T000181,2024-09-02,5395.53,GBP,SaaS,Vendor_18,Engineering,Cleared,False,E0036
T000182,2025-01-02,14480.44,USD,Payroll,Vendor_13,Operations,Cleared,False,E0033
T000183,2025-02-22,-9220.01,EUR,Payroll,Vendor_51,Marketing,Pending,False,E0006
T000184,2024-06-13,-1155.73,GBP,Office,Vendor_14,Operations,Flagged,False,E0050
T000185,2025-01-21,26115.33,GBP,Tax,Vendor_57,Sales,Flagged,False,E0045
T000186,2025-02-05,17069.11,USD,Investment,Vendor_2,Engineering,Flagged,False,E0017
T000187,2024-11-19,44007.1,GBP,Refund,Vendor_24,Operations,Cleared,True,E0043
T000188,2024-03-30,-1622.92,GBP,Marketing,Vendor_76,Customer Success,Pending,False,E0023
T000189,2024-12-26,15923.0,GBP,Marketing,Vendor_67,Finance,Cleared,False,E0023
T000190,2024-02-28,-4336.18,GBP,Refund,Vendor_20,HR,Cleared,False,E0012
T000191,2024-11-30,-28285.67,EUR,Travel,Vendor_31,HR,Cleared,False,E0028
T000192,2024-08-25,-12686.15,EUR,Refund,Vendor_64,Product,Cleared,False,E0017
T000193,2025-04-07,22218.47,USD,Tax,Vendor_43,Design,Pending,False,E0021
T000194,2024-01-25,-29318.3,USD,Payroll,Vendor_39,Legal,Pending,False,E0039
T000195,2024-02-17,-24323.93,EUR,Refund,Vendor_10,Marketing,Flagged,False,E0002
T000196,2025-05-04,28848.8,USD,Payroll,Vendor_62,Operations,Pending,False,E0026
T000197,2025-03-30,20798.21,EUR,Refund,Vendor_35,Product,Cleared,False,E0048
T000198,2024-02-16,-4053.65,USD,Marketing,Vendor_30,HR,Pending,False,E0028
T000199,2024-09-13,15643.36,USD,Payroll,Vendor_28,Marketing,Pending,False,E0049
T000200,2024-04-10,-11314.26,GBP,Office,Vendor_19,HR,Pending,False,E0035
T000201,2024-08-16,22764.69,EUR,Refund,Vendor_27,HR,Flagged,False,E0001
T000202,2024-08-30,46958.53,USD,Payroll,Vendor_64,Marketing,Flagged,True,E0045
T000203,2024-04-24,15245.86,EUR,Refund,Vendor_50,Operations,Flagged,False,E0027
T000204,2025-01-18,17842.89,USD,SaaS,Vendor_49,Sales,Pending,False,E0040
T000205,2024-12-23,13901.1,GBP,Travel,Vendor_52,Finance,Cleared,False,E0050
T000206,2024-10-20,-10513.97,EUR,Office,Vendor_51,Operations,Pending,False,E0015
T000207,2024-10-24,36748.85,USD,Office,Vendor_9,Legal,Pending,True,E0026
T000208,2025-03-31,49212.63,USD,Payroll,Vendor_8,Customer Success,Cleared,True,E0025
T000209,2024-03-15,21100.64,USD,Payroll,Vendor_46,Sales,Pending,False,E0017
T000210,2024-01-29,-5466.68,EUR,Payroll,Vendor_39,Design,Cleared,False,E0006
T000211,2024-04-14,24089.56,EUR,Travel,Vendor_61,Finance,Flagged,False,E0027
T000212,2024-07-05,43100.97,EUR,SaaS,Vendor_77,HR,Flagged,True,E0048
T000213,2024-10-05,-10743.3,EUR,Refund,Vendor_8,HR,Pending,False,E0020
T000214,2024-09-21,9272.43,GBP,Payroll,Vendor_61,Sales,Cleared,False,E0045
T000215,2024-10-27,41993.36,EUR,Vendor,Vendor_42,Operations,Flagged,True,E0036
T000216,2024-04-03,47395.39,EUR,Payroll,Vendor_7,Marketing,Flagged,True,E0016
T000217,2024-04-21,27593.03,USD,Travel,Vendor_17,Customer Success,Flagged,False,E0037
T000218,2024-04-09,-2903.49,EUR,Tax,Vendor_3,Marketing,Cleared,False,E0016
T000219,2024-08-10,25784.46,GBP,Marketing,Vendor_10,HR,Pending,False,E0031
T000220,2024-02-12,19318.86,GBP,Vendor,Vendor_68,Operations,Cleared,False,E0045
T000221,2024-11-16,14614.75,USD,Office,Vendor_53,Sales,Pending,False,E0028
T000222,2024-12-07,48769.85,EUR,Office,Vendor_72,Legal,Cleared,True,E0010
T000223,2024-04-22,19272.07,EUR,SaaS,Vendor_70,HR,Flagged,False,E0032
T000224,2024-12-08,-47416.8,EUR,Travel,Vendor_1,Marketing,Cleared,True,E0036
T000225,2025-02-02,36976.91,USD,Travel,Vendor_31,HR,Cleared,True,E0035
T000226,2025-03-13,-6117.23,GBP,Refund,Vendor_14,HR,Flagged,False,E0013
T000227,2024-06-28,30283.03,GBP,Tax,Vendor_39,Product,Cleared,True,E0027
T000228,2024-09-26,16418.87,GBP,Refund,Vendor_35,Customer Success,Pending,False,E0044
T000229,2024-07-03,-17904.12,EUR,SaaS,Vendor_67,Finance,Cleared,False,E0049
T000230,2024-01-06,42330.13,USD,Investment,Vendor_46,Engineering,Flagged,True,E0035
T000231,2024-01-26,43463.0,EUR,Office,Vendor_52,Operations,Pending,True,E0049
T000232,2024-01-14,24717.4,EUR,Investment,Vendor_15,Engineering,Pending,False,E0034
T000233,2024-01-06,-39112.77,GBP,Investment,Vendor_54,Product,Flagged,True,E0032
T000234,2025-02-15,46619.93,EUR,Refund,Vendor_56,Sales,Flagged,True,E0014
T000235,2024-08-16,3139.06,GBP,Investment,Vendor_55,Customer Success,Cleared,False,E0025
T000236,2025-02-06,13399.99,EUR,Office,Vendor_32,Finance,Cleared,False,E0020
T000237,2025-02-22,-5578.61,EUR,Tax,Vendor_30,Finance,Pending,False,E0037
T000238,2025-04-02,36061.93,USD,Tax,Vendor_22,Design,Cleared,True,E0040
T000239,2025-04-18,-42573.55,USD,SaaS,Vendor_28,Product,Pending,True,E0014
T000240,2024-10-08,38606.84,EUR,Travel,Vendor_37,HR,Cleared,True,E0021
T000241,2025-05-08,-33541.06,GBP,Marketing,Vendor_2,HR,Flagged,True,E0001
T000242,2024-05-09,-2676.19,EUR,Payroll,Vendor_80,Product,Flagged,False,E0037
T000243,2024-08-06,-33615.45,USD,Marketing,Vendor_46,Legal,Pending,True,E0029
T000244,2024-04-30,47650.67,EUR,Tax,Vendor_3,Legal,Flagged,True,E0049
T000245,2025-01-14,43580.38,GBP,Vendor,Vendor_78,Design,Cleared,True,E0029
T000246,2025-01-19,-20196.11,GBP,Travel,Vendor_50,Customer Success,Pending,False,E0014
T000247,2024-11-10,-5877.97,GBP,Investment,Vendor_45,Design,Pending,False,E0020
T000248,2024-09-16,24750.8,GBP,Office,Vendor_47,Product,Cleared,False,E0016
T000249,2024-02-27,29978.91,GBP,Investment,Vendor_33,Operations,Pending,False,E0047
T000250,2024-11-03,43270.59,USD,Tax,Vendor_32,Legal,Pending,True,E0012
T000251,2024-06-22,-2110.8,EUR,Refund,Vendor_62,Operations,Cleared,False,E0029
T000252,2024-11-23,-34218.91,USD,Travel,Vendor_65,Operations,Flagged,True,E0030
T000253,2024-08-15,-13080.94,USD,Vendor,Vendor_71,Legal,Flagged,False,E0031
T000254,2024-06-19,-12668.72,GBP,Investment,Vendor_29,Marketing,Flagged,False,E0012
T000255,2025-02-20,9464.88,GBP,Payroll,Vendor_8,HR,Flagged,False,E0001
T000256,2024-06-12,-21334.74,GBP,Vendor,Vendor_57,Finance,Pending,False,E0021
T000257,2024-10-08,-13567.95,USD,Office,Vendor_73,Sales,Flagged,False,E0015
T000258,2024-05-21,-19708.32,USD,Marketing,Vendor_53,Marketing,Flagged,False,E0048
T000259,2025-03-21,-3065.17,USD,Travel,Vendor_79,Finance,Cleared,False,E0004
T000260,2025-01-31,47900.53,EUR,Office,Vendor_31,Finance,Pending,True,E0013
T000261,2025-03-24,21368.08,GBP,Refund,Vendor_41,Legal,Flagged,False,E0035
T000262,2024-01-11,7032.17,USD,Investment,Vendor_24,Sales,Flagged,False,E0026
T000263,2025-04-14,-49990.68,EUR,Investment,Vendor_63,HR,Flagged,True,E0031
T000264,2024-09-15,15164.06,GBP,SaaS,Vendor_61,Finance,Pending,False,E0028
T000265,2024-05-06,-45259.79,EUR,Refund,Vendor_29,Legal,Flagged,True,E0033
T000266,2025-01-06,-25274.09,EUR,Tax,Vendor_53,Engineering,Flagged,False,E0032
T000267,2024-12-02,6938.28,EUR,Investment,Vendor_42,HR,Cleared,False,E0049
T000268,2024-01-29,18611.8,EUR,Marketing,Vendor_47,Engineering,Pending,False,E0046
T000269,2024-03-12,10060.14,USD,Payroll,Vendor_11,Engineering,Pending,False,E0040
T000270,2024-04-28,21067.03,GBP,SaaS,Vendor_52,HR,Cleared,False,E0029
T000271,2024-09-21,-34166.14,EUR,Tax,Vendor_31,Engineering,Pending,True,E0040
T000272,2024-06-04,17071.12,GBP,Office,Vendor_55,Product,Cleared,False,E0005
T000273,2024-08-22,-5792.33,USD,Investment,Vendor_57,Marketing,Pending,False,E0041
T000274,2024-06-10,5361.58,GBP,Investment,Vendor_59,Engineering,Flagged,False,E0043
T000275,2024-09-13,-19584.17,EUR,Office,Vendor_41,Finance,Flagged,False,E0036
T000276,2025-02-16,-49778.01,USD,Tax,Vendor_44,Legal,Flagged,True,E0031
T000277,2024-03-13,-6262.13,USD,Office,Vendor_5,Product,Flagged,False,E0045
T000278,2025-05-13,-47596.46,USD,Travel,Vendor_6,Customer Success,Flagged,True,E0027
T000279,2024-08-17,-31832.74,USD,Investment,Vendor_14,HR,Pending,True,E0036
T000280,2024-05-04,5279.07,USD,SaaS,Vendor_62,Design,Pending,False,E0015
T000281,2024-08-18,6916.24,GBP,SaaS,Vendor_15,Operations,Flagged,False,E0037
T000282,2024-03-28,-18982.01,USD,Refund,Vendor_14,Product,Cleared,False,E0001
T000283,2025-03-21,38636.51,GBP,Travel,Vendor_73,Engineering,Flagged,True,E0024
T000284,2024-09-28,-28424.92,EUR,Investment,Vendor_34,Design,Cleared,False,E0028
T000285,2025-02-02,43340.86,GBP,Vendor,Vendor_55,Product,Cleared,True,E0013
T000286,2024-10-01,-10533.42,EUR,Tax,Vendor_6,Customer Success,Pending,False,E0031
T000287,2024-07-09,49568.23,EUR,Office,Vendor_58,Finance,Flagged,True,E0049
T000288,2025-02-08,-17285.58,USD,Payroll,Vendor_41,Product,Pending,False,E0043
T000289,2024-03-07,-14620.84,USD,Marketing,Vendor_6,Marketing,Pending,False,E0045
T000290,2025-02-26,30307.05,GBP,Investment,Vendor_71,Sales,Cleared,True,E0041
T000291,2024-10-03,41194.51,EUR,Investment,Vendor_58,Marketing,Cleared,True,E0022
T000292,2024-09-05,385.07,EUR,Refund,Vendor_20,Engineering,Flagged,False,E0002
T000293,2024-03-19,-21187.0,USD,Payroll,Vendor_37,Sales,Pending,False,E0004
T000294,2025-02-08,-3308.49,EUR,Travel,Vendor_15,Customer Success,Pending,False,E0001
T000295,2024-09-24,17111.7,EUR,Vendor,Vendor_12,HR,Flagged,False,E0024
T000296,2024-11-18,-11759.33,EUR,Vendor,Vendor_30,Operations,Cleared,False,E0046
T000297,2024-05-21,-5954.94,GBP,Office,Vendor_6,Engineering,Cleared,False,E0020
T000298,2024-06-20,5199.59,USD,Investment,Vendor_76,Marketing,Cleared,False,E0041
T000299,2024-09-01,-47689.62,GBP,Payroll,Vendor_50,Operations,Flagged,True,E0020
T000300,2024-11-15,-25800.39,EUR,Office,Vendor_65,Engineering,Flagged,False,E0015
T000301,2025-02-07,15541.55,USD,Investment,Vendor_28,Customer Success,Pending,False,E0032
